dataset,product,view,country,source_level,source_state,year,quarter,from_timestamp,to_timestamp,success,code,response_timestamp,source_file,registered_users,app_opens
aggregated,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\aggregated\user\country\india\2018\1.json,46877867,0
aggregated,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\aggregated\user\country\india\2018\2.json,63648311,0
aggregated,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\aggregated\user\country\india\2018\3.json,80010952,0
aggregated,user,,india,country,,2018,4,,,True,SUCCESS,1630501482419,data\aggregated\user\country\india\2018\4.json,102262055,0
aggregated,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\aggregated\user\country\india\2019\1.json,123432699,0
aggregated,user,,india,country,,2019,2,,,True,SUCCESS,1630501482795,data\aggregated\user\country\india\2019\2.json,141808226,920413791
aggregated,user,,india,country,,2019,3,,,True,SUCCESS,1630501482795,data\aggregated\user\country\india\2019\3.json,159293934,3448366103
aggregated,user,,india,country,,2019,4,,,True,SUCCESS,1630501482796,data\aggregated\user\country\india\2019\4.json,178279085,4301071954
aggregated,user,,india,country,,2020,1,,,True,SUCCESS,1630501482811,data\aggregated\user\country\india\2020\1.json,197575164,4768944662
aggregated,user,,india,country,,2020,2,,,True,SUCCESS,1630501482811,data\aggregated\user\country\india\2020\2.json,218996326,4357634272
aggregated,user,,india,country,,2020,3,,,True,SUCCESS,1630501483101,data\aggregated\user\country\india\2020\3.json,241169683,5739326491
aggregated,user,,india,country,,2020,4,,,True,SUCCESS,1630501483101,data\aggregated\user\country\india\2020\4.json,264271293,7461623162
aggregated,user,,india,country,,2021,1,,,True,SUCCESS,1630501483101,data\aggregated\user\country\india\2021\1.json,284985430,8635508502
aggregated,user,,india,country,,2021,2,,,True,SUCCESS,1630501483101,data\aggregated\user\country\india\2021\2.json,305258086,9630620549
aggregated,user,,india,country,,2021,3,,,True,SUCCESS,1634575118439,data\aggregated\user\country\india\2021\3.json,328354923,12256377890
aggregated,user,,india,country,,2021,4,,,True,SUCCESS,1643295732962,data\aggregated\user\country\india\2021\4.json,351161395,15172529039
aggregated,user,,india,country,,2022,1,,,True,SUCCESS,1651127632781,data\aggregated\user\country\india\2022\1.json,372951831,15724195113
aggregated,user,,india,country,,2022,2,,,True,SUCCESS,1669732264806,data\aggregated\user\country\india\2022\2.json,393424643,17786667567
aggregated,user,,india,country,,2022,3,,,True,SUCCESS,1669732395886,data\aggregated\user\country\india\2022\3.json,414324881,19223454074
aggregated,user,,india,country,,2022,4,,,True,SUCCESS,1674558273630,data\aggregated\user\country\india\2022\4.json,433947940,21262699669
aggregated,user,,india,country,,2023,1,,,True,SUCCESS,1692619095203,data\aggregated\user\country\india\2023\1.json,453886185,22927510601
aggregated,user,,india,country,,2023,2,,,True,SUCCESS,1692619276439,data\aggregated\user\country\india\2023\2.json,472369901,24931188217
aggregated,user,,india,country,,2023,3,,,True,SUCCESS,1697612095802,data\aggregated\user\country\india\2023\3.json,491434385,27225177134
aggregated,user,,india,country,,2023,4,,,True,SUCCESS,1706092754835,data\aggregated\user\country\india\2023\4.json,509358280,29936587770
aggregated,user,,india,country,,2024,1,,,True,SUCCESS,1714727648334,data\aggregated\user\country\india\2024\1.json,530084540,32626239822
