dataset,product,view,country,source_level,source_state,year,quarter,from_timestamp,to_timestamp,success,code,response_timestamp,source_file,entity_level,entity_name,metric_type,transaction_count,transaction_amount
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,puducherry,TOTAL,112,22251.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,tamil nadu,TOTAL,5473,1075552.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,uttar pradesh,TOTAL,9884,1912266.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,madhya pradesh,TOTAL,6283,1198701.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,andhra pradesh,TOTAL,22104,3982391.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,tripura,TOTAL,88,22054.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,manipur,TOTAL,55,12554.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,maharashtra,TOTAL,39836,6879717.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,dadra & nagar haveli & daman & diu,TOTAL,651,101029.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,meghalaya,TOTAL,41,8829.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,andaman & nicobar islands,TOTAL,6,1360.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,haryana,TOTAL,6321,1179814.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,rajasthan,TOTAL,5373,1095933.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,ladakh,TOTAL,14,2538.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,punjab,TOTAL,2036,399452.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,assam,TOTAL,978,210034.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,jharkhand,TOTAL,2063,405031.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,odisha,TOTAL,2981,615193.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,bihar,TOTAL,2816,595621.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,kerala,TOTAL,1588,360216.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,karnataka,TOTAL,27358,4794150.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,chandigarh,TOTAL,149,29537.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,telangana,TOTAL,19003,3419453.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,himachal pradesh,TOTAL,392,77936.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,west bengal,TOTAL,7619,1432764.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,gujarat,TOTAL,7697,1430591.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,sikkim,TOTAL,21,4789.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,nagaland,TOTAL,41,9791.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,mizoram,TOTAL,31,7322.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,chhattisgarh,TOTAL,1346,279005.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,jammu & kashmir,TOTAL,206,48484.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,goa,TOTAL,341,71100.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,arunachal pradesh,TOTAL,65,14329.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,delhi,TOTAL,11716,1897480.0
map,insurance,hover,india,country,,2020,2,,,True,SUCCESS,1692610792974,data\map\insurance\hover\country\india\2020\2.json,state,uttarakhand,TOTAL,660,134899.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,puducherry,TOTAL,191,58399.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,tamil nadu,TOTAL,8026,2257373.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,uttar pradesh,TOTAL,18131,4436969.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,madhya pradesh,TOTAL,14476,3496126.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,andhra pradesh,TOTAL,49812,12426481.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,tripura,TOTAL,249,61642.0
