dataset,product,view,country,source_level,source_state,year,quarter,from_timestamp,to_timestamp,success,code,response_timestamp,source_file,entity_level,entity_name,rank,metric_type,transaction_count,transaction_amount
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,state,maharashtra,1,TOTAL,16387034,21711613257.725674
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,state,uttar pradesh,2,TOTAL,12537805,13939970923.223106
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,state,karnataka,3,TOTAL,12016899,19217895314.012802
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,state,west bengal,4,TOTAL,11710225,10625978552.140453
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,state,andhra pradesh,5,TOTAL,9039585,11996276391.823706
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,state,telangana,6,TOTAL,8522766,13308204118.542435
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,state,madhya pradesh,7,TOTAL,8025395,8681603403.446348
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,state,rajasthan,8,TOTAL,7591690,8926293130.72684
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,state,delhi,9,TOTAL,7122754,11211503806.91996
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,state,tamil nadu,10,TOTAL,6726622,11261557697.516891
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,district,bengaluru urban,1,TOTAL,8306513,14162750303.06484
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,district,pune,2,TOTAL,3842929,5378982326.835919
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,district,central delhi,3,TOTAL,2997714,4312145216.274474
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,district,mumbai,4,TOTAL,2671029,3923116793.952079
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,district,chennai,5,TOTAL,2656230,4281137762.522443
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,district,hyderabad,6,TOTAL,2545507,4287223789.76588
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,district,jaipur,7,TOTAL,2417174,2953086960.1413727
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,district,birbhum,8,TOTAL,2125816,2520486412.452376
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,district,kolkata,9,TOTAL,2043129,2753347660.1429114
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,district,bhopal,10,TOTAL,1704495,1905473874.8326716
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,pincode,560001,1,TOTAL,2917356,4684262246.184548
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,pincode,110006,2,TOTAL,2636324,3714139312.238586
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,pincode,400008,3,TOTAL,2227885,3105208723.475169
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,pincode,600003,4,TOTAL,2010196,2997847000.265506
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,pincode,731101,5,TOTAL,1764956,2366771285.7278423
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,pincode,700009,6,TOTAL,1390629,1851145374.4001179
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,pincode,411001,7,TOTAL,1055656,1413523605.5956619
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,pincode,500012,8,TOTAL,933013,1643061976.4262943
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,pincode,462001,9,TOTAL,832846,898730606.684653
top,transaction,,india,country,,2018,1,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\1.json,pincode,201301,10,TOTAL,690196,987613438.9540119
top,transaction,,india,country,,2018,2,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\2.json,state,maharashtra,1,TOTAL,22285740,36357057241.12254
top,transaction,,india,country,,2018,2,,,True,SUCCESS,1630501481910,data\top\transaction\country\india\2018\2.json,state,west bengal,2,TOTAL,18082446,18629183470.204285
