dataset,product,view,country,source_level,source_state,year,quarter,from_timestamp,to_timestamp,success,code,response_timestamp,source_file,entity_level,entity_name,rank,registered_users
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,state,maharashtra,1,6106994
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,state,uttar pradesh,2,4694250
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,state,karnataka,3,3717763
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,state,andhra pradesh,4,3336450
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,state,telangana,5,3315560
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,state,rajasthan,6,3158202
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,state,gujarat,7,2690048
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,state,west bengal,8,2604789
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,state,madhya pradesh,9,2553603
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,state,bihar,10,2133804
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,district,bengaluru urban,1,1922368
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,district,pune,2,1211643
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,district,jaipur,3,900773
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,district,mumbai suburban,4,719300
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,district,hyderabad,5,655175
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,district,rangareddy,6,635175
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,district,thane,7,631864
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,district,ahmadabad,8,572811
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,district,medchal malkajgiri,9,549429
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,district,visakhapatnam,10,497187
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,pincode,201301,1,114625
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,pincode,500072,2,105012
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,pincode,560068,3,98487
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,pincode,110059,4,95496
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,pincode,110092,5,83600
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,pincode,122001,6,82656
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,pincode,560037,7,75304
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,pincode,395006,8,72275
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,pincode,800001,9,71092
top,user,,india,country,,2018,1,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\1.json,pincode,302012,10,68098
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,state,maharashtra,1,8222371
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,state,uttar pradesh,2,6442554
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,state,karnataka,3,5030665
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,state,andhra pradesh,4,4402540
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,state,telangana,5,4260115
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,state,rajasthan,6,4212964
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,state,west bengal,7,3833795
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,state,gujarat,8,3565825
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,state,madhya pradesh,9,3441662
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,state,bihar,10,3005872
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,district,bengaluru urban,1,2553312
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,district,pune,2,1592293
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,district,jaipur,3,1182983
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,district,mumbai suburban,4,957633
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,district,thane,5,861292
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,district,hyderabad,6,842483
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,district,rangareddy,7,804959
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,district,ahmadabad,8,751746
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,district,medchal malkajgiri,9,696211
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,district,surat,10,652372
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,pincode,201301,1,151073
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,pincode,500072,2,129543
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,pincode,560068,3,128921
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,pincode,110059,4,124901
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,pincode,110092,5,108175
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,pincode,122001,6,107275
top,user,,india,country,,2018,2,,,True,SUCCESS,1630501482414,data\top\user\country\india\2018\2.json,pincode,800001,7,94711
